estado	qtd_pedidos	receita
SP	2124	617014.22
RJ	665	192451.8
MG	583	160653.37
RS	284	75986.4
PR	225	60541.34
SC	188	57682.43
BA	188	51974.95
ES	158	43245.87
PE	106	29863.86
DF	88	24663.11
GO	87	24075.35
CE	82	20769.19
MA	47	14664.22
AM	51	14556.95
RN	41	12874.05
PA	44	12506.48
MS	44	11582.31
PB	31	9502.35
PI	34	9350.28
MT	39	8738.33
AL	28	8523.58
SE	19	4886.19
RO	11	3008.51
TO	11	2892.47
AP	10	2518.34
AC	6	2160.72
RR	6	2106.81
